Suburb,Address,Type,Date,Bedroom,Bathroom,Landsize,BuildingArea,YearBuilt,Latitude,Longtitude,ParkingArea,Price
Burwood,15 Loudon Rd,h,3/9/2016,4.0,3.0,661.0,253,1940.0,-37.848,145.098,Indoor,1590000.0
Burwood,4 Bennett St,h,3/12/2016,3.0,1.0,697.0,,,-37.851,145.1169,Attached Garage,1390000.0
Burwood,6 Elgar Rd,h,3/12/2016,3.0,1.0,668.0,,,-37.8486,145.1094,Indoor,
Burwood,2 Highbury Rd,h,3/12/2016,4.0,2.0,602.0,,,-37.8536,145.0957,Parkade,
Burwood,7 Keogh St,h,3/12/2016,3.0,1.0,773.0,,1960.0,-37.8562,145.1104,Underground,1300000.0
Burwood,35 McCubbin St,h,3/12/2016,4.0,2.0,1145.0,111,1960.0,-37.8538,145.127,Outdoor Stall,1890000.0
Burwood,2/32 McIntyre St,u,3/12/2016,3.0,2.0,265.0,130,2000.0,-37.8516,145.1056,Carport,1022500.0
Burwood,1 Webb St,h,3/12/2016,3.0,1.0,662.0,,,-37.8561,145.1054,Detached Garage,1250000.0
Burwood,163 Highbury Rd,h,4/2/2016,3.0,1.0,695.0,,,-37.8551,145.1121,Indoor,1151000.0
Burwood,30 Station St,h,4/2/2016,3.0,1.0,931.0,145,1970.0,-37.854,145.1195,Parkade,1755000.0
Burwood,2/2 Aylwin Av,u,4/6/2016,,,,,,,,Parking Pad,604000.0
Burwood,2 Elgar Rd,h,4/6/2016,3.0,1.0,667.0,136,1950.0,-37.8489,145.1093,Carport,1300000.0
Burwood,1 Leopold St,h,4/6/2016,3.0,1.0,763.0,118,1950.0,-37.8589,145.0948,Detached Garage,
Burwood,48 Station St,h,4/6/2016,3.0,1.0,786.0,111,1950.0,-37.8525,145.1198,Attached Garage,1160000.0
Burwood,2 Alder St,h,7/5/2016,4.0,2.0,811.0,,,-37.8489,145.0985,Detached Garage,
Burwood,5 Church St,h,7/5/2016,4.0,2.0,711.0,,,-37.8513,145.0965,Attached Garage,
Burwood,2/4 Farleigh Av,h,7/5/2016,,,,,,,,Indoor,
Burwood,7 Wattlebird Ct,h,7/5/2016,4.0,3.0,928.0,229,1996.0,-37.842,145.102,Parkade,2000000.0
Burwood,1/9 Bronte Av,u,7/11/2016,,,,,,,,Parkade,601000.0
Burwood,1/14 Corrigan St,h,7/11/2016,3.0,1.0,318.0,103,1960.0,-37.8544,145.1114,Underground,790000.0
Burwood,24 Patterson Av,h,7/11/2016,,,,,,,,Outdoor Stall,
Burwood,30 Waratah Av,t,7/11/2016,,,,,,,,Parking Pad,930000.0
Burwood,36 Cumming St,h,8/10/2016,30.0,12.0,946.0,,1950.0,-37.853,145.1129,Detached Garage,
Burwood,25 Greenwood St,h,8/10/2016,4.0,2.0,921.0,174,1950.0,-37.8494,145.1291,Attached Garage,1682000.0
Burwood,14/1 Conservatory Dr,u,10/9/2016,3.0,2.0,0.0,115,2002.0,-37.8561,145.0962,Attached Garage,625000.0
Burwood,2/22 Scott Gr,t,10/9/2016,3.0,2.0,160.0,,,-37.8525,145.0973,Indoor,780000.0
Burwood,2 Bennett St,h,10/12/2016,3.0,1.0,690.0,,,-37.8509,145.117,Parkade,1342000.0
Burwood,29 Clanbrae Av,h,10/12/2016,,,,,,,,Underground,1381000.0
Burwood,1/9 Farleigh Av,u,10/12/2016,,,,,,,,Outdoor Stall,
Burwood,12 Havelock St,h,10/12/2016,4.0,2.0,804.0,,,-37.8516,145.1179,Parking Pad,1782800.0
Burwood,1/34 Cumming St,h,12/6/2016,4.0,3.0,326.0,210,2013.0,-37.8528,145.1129,Indoor,1060000.0
Burwood,14 Wridgway Av,h,12/6/2016,,,,,,,,Parkade,1765000.0
Burwood,33 Brockhoff Dr,h,12/11/2016,4.0,2.0,438.0,210,2005.0,-37.8599,145.1101,Detached Garage,1255000.0
Burwood,9 Ian Gr,h,12/11/2016,4.0,2.0,608.0,,,-37.8555,145.1203,Attached Garage,
Burwood,2/65 Arthur St,t,3/6/2017,,,,,,,,Indoor,
Burwood,40 Gillard St,h,3/6/2017,4.0,2.0,758.0,,,-37.85371,145.1139,Parkade,
Burwood,5/19 Hughes St,t,3/6/2017,4.0,3.0,94.0,184,,-37.85213,145.10928,Underground,845000.0
Burwood,8 Scott Gr,h,3/6/2017,3.0,1.0,423.0,84,1950.0,-37.85155,145.09769,Outdoor Stall,
Burwood,2/107 Station St,u,3/6/2017,2.0,1.0,251.0,,1975.0,-37.84738,145.11997,Carport,700000.0
Burwood,45 Barnes Av,h,4/3/2017,,,,,,,,Detached Garage,1505000.0
Burwood,34 Beddows St,h,4/3/2017,5.0,3.0,513.0,185,1970.0,-37.8532,145.1156,Attached Garage,
Burwood,20 Gilmour St,h,4/3/2017,6.0,3.0,796.0,367,2014.0,-37.8529,145.0986,Indoor,
Burwood,49 Morton Rd,h,4/3/2017,3.0,2.0,741.0,,,-37.8578,145.0993,Carport,
Burwood,39 Sixth Av,h,4/3/2017,,,,,,,,Detached Garage,935000.0
Burwood,1/109 Station St,u,4/3/2017,3.0,1.0,273.0,,1980.0,-37.8473,145.1203,Attached Garage,686000.0
Burwood,7 Waratah Av,h,4/3/2017,,,,,,,,Indoor,1400000.0
Burwood,24 Andrews St,h,6/5/2017,6.0,2.0,665.0,209,1950.0,-37.8493,145.1283,Attached Garage,1591000.0
Burwood,165 Highbury Rd,h,6/5/2017,4.0,1.0,697.0,,,-37.8552,145.1123,Indoor,
Burwood,3/51 Middleborough Rd,u,6/5/2017,2.0,1.0,153.0,,1970.0,-37.8528,145.1318,Parkade,580000.0
Burwood,3/12 Somers St,u,6/5/2017,2.0,1.0,81.0,,1965.0,-37.8495,145.0999,Carport,605000.0
Burwood,15 Summit Rd,h,6/5/2017,3.0,1.0,827.0,,,-37.8466,145.1228,Detached Garage,
Burwood,23/1 Conservatory Dr,u,7/10/2017,,,,,,,,Attached Garage,
Burwood,13/19 Hughes St,t,7/10/2017,,,,,,,,Indoor,1002000.0
Burwood,8 Pearce St,h,7/10/2017,4.0,1.0,,133,1950.0,-37.85556,145.12966,Parkade,1200000.0
Burwood,1/47 Roslyn St,t,7/10/2017,,,,,,,,Carport,1405000.0
Burwood,1/24 Daniel St,t,8/4/2017,3.0,2.0,267.0,150,2012.0,-37.8463,145.1071,Carport,975000.0
Burwood,68 Somers St,h,8/4/2017,3.0,2.0,620.0,,,-37.8445,145.1005,Detached Garage,1465500.0
Burwood,14 Cumming St,h,8/7/2017,3.0,1.0,695.0,,,-37.85126,145.1132,Carport,1530000.0
Burwood,5 Ardenne Cl,h,9/9/2017,,,,,,,,Indoor,
Burwood,12 Burbidge Cl,h,9/9/2017,,,,,,,,Parkade,
Burwood,15 Wattlebird Ct,h,9/9/2017,4.0,2.0,514.0,258,2000.0,-37.84248,145.10181,Underground,1750000.0
Burwood,4 Narmi Ct,h,9/12/2017,4.0,2.0,563.0,564,1960.0,-37.8476,145.12667,Indoor,
Burwood,29 Parer St,h,9/12/2017,4.0,2.0,,197,1930.0,-37.84787,145.10371,Parkade,1500000.0
Burwood,71 Parer St,h,9/12/2017,3.0,2.0,695.0,169,1940.0,-37.84482,145.10427,Underground,
Burwood,15 Sparks Av,h,9/12/2017,4.0,3.0,555.0,,,-37.85551,145.12599,Outdoor Stall,
Burwood,24 Wridgway Av,h,9/12/2017,6.0,2.0,836.0,142,1955.0,-37.85314,145.12076,Carport,
Burwood,3/14 Havelock St,t,11/2/2017,,,,,,,,Carport,956000.0
Burwood,3 Peacock St,h,11/2/2017,3.0,1.0,706.0,,,-37.8509,145.1161,Detached Garage,1468000.0
Burwood,28 Farleigh Av,t,11/3/2017,,,,,,,,Detached Garage,
Burwood,1/10 McComas Gr,u,11/3/2017,2.0,1.0,194.0,120,1975.0,-37.8509,145.1119,Attached Garage,650000.0
Camberwell,28 Brinsley Rd,h,3/9/2016,4.0,2.0,652.0,189,1890.0,-37.8286,145.0686,Parkade,2650000.0
Camberwell,2/1 Glen Iris Rd,t,3/9/2016,3.0,1.0,389.0,,,-37.8435,145.0695,Underground,1615000.0
