Suburb,Type,Date,Bedroom,Bathroom,Landsize,BuildingArea,YearBuilt,Latitude,Longtitude,ParkingArea,Price,Year,Month,Day,BuildingDensity
Burwood,h,2016-03-09,4.0,3.0,661.0,253.0,1940.0,-37.848,145.098,Indoor,1590000.0,2016,3,9,0.3827534039334342
Burwood,h,2016-03-12,3.0,1.0,697.0,169.5,1967.9019607843138,-37.851,145.1169,Attached Garage,1390000.0,2016,3,12,0.24318507890961263
Burwood,h,2016-03-12,3.0,1.0,668.0,169.5,1967.9019607843138,-37.8486,145.1094,Indoor,1301000.0,2016,3,12,0.2537425149700599
Burwood,h,2016-03-12,4.0,2.0,602.0,169.5,1967.9019607843138,-37.8536,145.0957,Parkade,1301000.0,2016,3,12,0.2815614617940199
Burwood,h,2016-03-12,3.0,1.0,773.0,169.5,1960.0,-37.8562,145.1104,Underground,1300000.0,2016,3,12,0.21927554980595085
Burwood,h,2016-03-12,4.0,2.0,1145.0,111.0,1960.0,-37.8538,145.127,Outdoor Stall,1890000.0,2016,3,12,0.09694323144104804
Burwood,u,2016-03-12,3.0,2.0,265.0,130.0,2000.0,-37.8516,145.1056,Carport,1022500.0,2016,3,12,0.49056603773584906
Burwood,h,2016-03-12,3.0,1.0,662.0,169.5,1967.9019607843138,-37.8561,145.1054,Detached Garage,1250000.0,2016,3,12,0.25604229607250756
Burwood,h,2016-04-02,3.0,1.0,695.0,169.5,1967.9019607843138,-37.8551,145.1121,Indoor,1151000.0,2016,4,2,0.24388489208633093
Burwood,h,2016-04-02,3.0,1.0,931.0,145.0,1970.0,-37.854,145.1195,Parkade,1755000.0,2016,4,2,0.15574650912996776
Burwood,u,2016-04-06,3.0,2.0,556.1013513513514,169.5,1967.9019607843138,-37.84254,145.1032051948052,Parking Pad,604000.0,2016,4,6,0.3048005540502776
Burwood,h,2016-04-06,3.0,1.0,667.0,136.0,1950.0,-37.8489,145.1093,Carport,1300000.0,2016,4,6,0.20389805097451275
Burwood,h,2016-04-06,3.0,1.0,763.0,118.0,1950.0,-37.8589,145.0948,Detached Garage,1301000.0,2016,4,6,0.15465268676277852
Burwood,h,2016-04-06,3.0,1.0,786.0,111.0,1950.0,-37.8525,145.1198,Attached Garage,1160000.0,2016,4,6,0.14122137404580154
Burwood,h,2016-07-05,4.0,2.0,811.0,169.5,1967.9019607843138,-37.8489,145.0985,Detached Garage,1301000.0,2016,7,5,0.20900123304562268
Burwood,h,2016-07-05,4.0,2.0,711.0,169.5,1967.9019607843138,-37.8513,145.0965,Attached Garage,1301000.0,2016,7,5,0.23839662447257384
Burwood,h,2016-07-05,3.0,2.0,556.1013513513514,169.5,1967.9019607843138,-37.84254,145.1032051948052,Indoor,1301000.0,2016,7,5,0.3048005540502776
